geneSymbol	geneName	ProbeID	logFC	P.Value	adj.P.Val
SP110	SP110 nuclear body protein	5870184	-0.037123772	0.635865322	0.838582037
KIAA1429	KIAA1429	4560577	0.032515437	0.635964904	0.83861393
NA	NA	6590010	0.042770517	0.635964924	0.83861393
ARHGEF17	Rho guanine nucleotide exchange factor (GEF) 17	1660020	0.031740834	0.636233857	0.838808839
CALN1	calneuron 1	4560274	-0.032665602	0.636241987	0.838808839
HN1	hematological and neurological expressed 1	4540435	0.043279276	0.636242415	0.838808839
NA	NA	2710377	-0.043564047	0.636263605	0.838808839
POLR3H	polymerase (RNA) III (DNA directed) polypeptide H (22.9kD)	3870364	0.042690377	0.636356475	0.838881544
RBM7	RNA binding motif protein 7	1340202	0.032885149	0.63640759	0.838899199
NA	NA	3460689	0.03188503	0.636495935	0.838965926
RNF115	ring finger protein 115	1090452	0.034862509	0.636547304	0.838983909
BCCIP	BRCA2 and CDKN1A interacting protein	1450386	-0.058748591	0.636634667	0.839019173
E2F6	E2F transcription factor 6	7510707	-0.030886058	0.636649514	0.839019173
NA	NA	2760523	0.030461185	0.636789438	0.839020225
RNF145	ring finger protein 145	2260603	-0.038023789	0.636790675	0.839020225
NA	NA	7560504	-0.035389077	0.63680687	0.839020225
NA	NA	4480170	-0.045766377	0.636885292	0.839020225
ZNF594	zinc finger protein 594	620292	0.032539922	0.636906415	0.839020225
ZNF232	zinc finger protein 232	6980435	0.036063685	0.636907347	0.839020225
C3orf64	chromosome 3 open reading frame 64	7550546	-0.045320596	0.636914404	0.839020225
DLL1	delta-like 1 (Drosophila)	4050687	0.032282106	0.637016885	0.839105521
DDX42	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42	6110035	0.032346856	0.637074497	0.839129207
PSMA1	"proteasome (prosome, macropain) subunit, alpha type, 1"	7560025	0.030794315	0.637110332	0.839129207
CD97	CD97 molecule	4890253	-0.039746594	0.63723122	0.839238725
RPRD1A	regulation of nuclear pre-mRNA domain containing 1A	2600706	-0.036457497	0.637272157	0.839242938
UQCRQ	"ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa"	4210041	0.034279031	0.637341631	0.839260533
METTL21D	methyltransferase like 21D	5220543	-0.04253204	0.637384937	0.839260533
MIR181C	microRNA 181c	1410546	-0.040425086	0.637398732	0.839260533
LYSMD3	"LysM, putative peptidoglycan-binding, domain containing 3"	1940646	-0.037546092	0.63748092	0.839319057
NA	NA	4070152	0.045882994	0.637610502	0.839404105
STK24	serine/threonine kinase 24	4480373	0.040432609	0.637621005	0.839404105
NA	NA	3310349	0.041632677	0.637677271	0.839412437
PVRL3	poliovirus receptor-related 3	540156	0.030290347	0.637702825	0.839412437
NA	NA	2000315	-0.033887198	0.637936989	0.839667808
FBXO33	F-box protein 33	5870202	0.030692191	0.637972344	0.839667808
NA	NA	4640601	0.03130008	0.638030177	0.83969423
NA	NA	6960706	0.032806728	0.638161386	0.839817211
RPL38	ribosomal protein L38	5720273	0.033787841	0.638216967	0.839840659
NA	NA	2370133	-0.03222946	0.63828368	0.83987875
SRI	sorcin	5860445	0.043234421	0.638411745	0.839950871
FRYL	FRY-like	6480743	0.033519791	0.638428149	0.839950871
DMTF1	cyclin D binding myb-like transcription factor 1	4560343	0.030947592	0.6384864	0.839950871
ALG9	"asparagine-linked glycosylation 9, alpha-1,2-mannosyltransferase homolog (S. cerevisiae)"	450204	0.035856217	0.638504974	0.839950871
RPS3	ribosomal protein S3	6180039	-0.033228505	0.638527336	0.839950871
NA	NA	4250332	-0.031652734	0.63856537	0.839951219
NPAS3	neuronal PAS domain protein 3	3870121	0.033756479	0.638655398	0.840019955
LAT	linker for activation of T cells	5080608	-0.035982624	0.638757013	0.840103922
DGKQ	"diacylglycerol kinase, theta 110kDa"	7510356	0.031855363	0.638922447	0.84027181
NA	NA	5910044	0.032868944	0.63904301	0.840347996
PRDM10	PR domain containing 10	2070753	0.039545945	0.639134108	0.840347996
NA	NA	3400767	-0.031819913	0.63917279	0.840347996
JAG2	jagged 2	4670343	-0.033131061	0.639181012	0.840347996
ROD1	ROD1 regulator of differentiation 1 (S. pombe)	6370678	0.037576596	0.639182338	0.840347996
NA	NA	610685	-0.030416277	0.639229846	0.840347996
PEX6	peroxisomal biogenesis factor 6	3440086	0.035399078	0.639244887	0.840347996
NA	NA	5220014	-0.035308973	0.639380377	0.840476428
MB	myoglobin	2600019	0.031008656	0.6395073	0.840553654
DMC1	"DMC1 dosage suppressor of mck1 homolog, meiosis-specific homologous recombination (yeast)"	5670435	0.040119801	0.639538277	0.840553654
NA	NA	1570008	-0.032415477	0.639555052	0.840553654
NA	NA	3440564	0.035076033	0.639620042	0.840553654
SYNRG	"synergin, gamma"	4610112	-0.030812659	0.63964191	0.840553654
RBPMS	RNA binding protein with multiple splicing	2510369	0.033773983	0.639700701	0.840553654
NEK11	NIMA (never in mitosis gene a)- related kinase 11	3140168	-0.031364858	0.639775785	0.840553654
PITPNA	"phosphatidylinositol transfer protein, alpha"	6590243	-0.032747705	0.639794532	0.840553654
SLC35G5	"solute carrier family 35, member G5"	6400661	0.032834482	0.639844654	0.840553654
NA	NA	2340035	0.032750704	0.639864367	0.840553654
RET	ret proto-oncogene	630327	0.03359301	0.639888268	0.840553654
LRRC3	leucine rich repeat containing 3	1010600	0.030407675	0.639892682	0.840553654
NA	NA	1470736	-0.033957843	0.639934015	0.840558299
DIP2A	DIP2 disco-interacting protein 2 homolog A (Drosophila)	2490685	0.03060815	0.640166985	0.840699131
CYB5B	cytochrome b5 type B (outer mitochondrial membrane)	510474	0.038776517	0.640171787	0.840699131
NA	NA	1980435	0.033279313	0.640174227	0.840699131
MSH5	mutS homolog 5 (E. coli)	6330440	-0.033937012	0.640192445	0.840699131
NA	NA	1090408	0.032794644	0.640307492	0.840783835
POLR2A	"polymerase (RNA) II (DNA directed) polypeptide A, 220kDa"	3290338	0.039527629	0.640343899	0.840783835
ZCCHC14	"zinc finger, CCHC domain containing 14"	2710402	-0.033977693	0.640376522	0.840783835
CAT	catalase	1240446	0.049700048	0.640408174	0.840783835
LOC100128288	hypothetical LOC100128288	2630246	0.041760231	0.640473033	0.84081935
GNB4	"guanine nucleotide binding protein (G protein), beta polypeptide 4"	1660246	-0.043786447	0.640514178	0.840823729
RFTN1	"raftlin, lipid raft linker 1"	1260497	0.039304718	0.640666516	0.840974068
NA	NA	4220632	-0.036825177	0.640877291	0.84113632
RNF169	ring finger protein 169	3940681	0.033043436	0.640895345	0.84113632
NA	NA	2000025	-0.039714168	0.640927183	0.84113632
GPHN	gephyrin	6250494	0.033139426	0.640941413	0.84113632
NA	NA	2100102	-0.030668029	0.641163404	0.841227661
NA	NA	3060358	0.033555767	0.641205173	0.841227661
RPL6	ribosomal protein L6	4890615	0.034476143	0.641208027	0.841227661
NA	NA	4260110	0.032283369	0.641224159	0.841227661
NA	NA	2070528	0.035869998	0.641238988	0.841227661
METTL11A	methyltransferase like 11A	7650379	-0.04180539	0.641241914	0.841227661
EIF2D	eukaryotic translation initiation factor 2D	5340414	0.032872409	0.641327445	0.841227661
C2orf88	chromosome 2 open reading frame 88	4900309	-0.034236942	0.641391561	0.841227661
NA	NA	4880711	-0.039393706	0.641393604	0.841227661
UBC	ubiquitin C	1430239	-0.039936251	0.641476827	0.841227661
NA	NA	7040731	-0.032383479	0.641488332	0.841227661
NA	NA	1440079	0.035065678	0.641548971	0.841227661
FABP5	fatty acid binding protein 5 (psoriasis-associated)	5260047	-0.039849404	0.641569137	0.841227661
NA	NA	3440482	-0.053640226	0.641577041	0.841227661
HCN3	hyperpolarization activated cyclic nucleotide-gated potassium channel 3	6480674	0.030749055	0.641578415	0.841227661
NA	NA	1030072	0.038726953	0.641672766	0.841301771
C9orf23	chromosome 9 open reading frame 23	1770338	-0.03890187	0.641723345	0.841318486
MEA1	male-enhanced antigen 1	6130064	-0.031721194	0.641818438	0.841393553
ZNF430	zinc finger protein 430	7200326	0.034030533	0.641960553	0.841441192
CTSB	cathepsin B	60121	-0.032360844	0.641967005	0.841441192
NA	NA	4540196	0.035295477	0.641968285	0.841441192
NA	NA	2140747	0.030931716	0.642107813	0.841557564
PSMC6	"proteasome (prosome, macropain) 26S subunit, ATPase, 6"	6100762	0.036519276	0.642132754	0.841557564
GTPBP8	GTP-binding protein 8 (putative)	6620176	-0.037302906	0.642243714	0.841653386
NA	NA	5270538	0.037942219	0.642288606	0.84166262
NA	NA	4570022	0.031760904	0.642419753	0.841745812
PPP2R5D	"protein phosphatase 2, regulatory subunit B', delta"	3710010	0.033749157	0.642427792	0.841745812
HPRT1	hypoxanthine phosphoribosyltransferase 1	6400270	-0.045589703	0.64247838	0.841762501
ZRANB3	"zinc finger, RAN-binding domain containing 3"	3870187	0.032620203	0.642551818	0.841798608
NA	NA	3400273	0.034232618	0.642581643	0.841798608
NA	NA	70328	-0.03549108	0.642676089	0.841872741
ASNS	asparagine synthetase (glutamine-hydrolyzing)	5960181	-0.032403037	0.642793174	0.84193382
SETMAR	SET domain and mariner transposase fusion gene	7610097	0.033872862	0.642798698	0.84193382
NA	NA	4900022	0.033826635	0.642873455	0.84193382
ATP6V1G3	"ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G3"	5260592	-0.031612753	0.642874149	0.84193382
MAGED2	"melanoma antigen family D, 2"	940612	0.030179039	0.642986123	0.842030879
NA	NA	830674	0.035121515	0.643070539	0.842075363
RBBP9	retinoblastoma binding protein 9	6660259	-0.032611717	0.643095821	0.842075363
LINC00152	long intergenic non-protein coding RNA 152	5490017	-0.032128702	0.643231846	0.842113302
CCDC86	coiled-coil domain containing 86	650300	-0.035169984	0.643275007	0.842113302
NA	NA	4260048	0.030494593	0.643280764	0.842113302
NA	NA	6980224	-0.036902358	0.643292809	0.842113302
GCLC	"glutamate-cysteine ligase, catalytic subunit"	4730670	0.039956225	0.64331969	0.842113302
PRSS8	"protease, serine, 8"	990619	0.037026573	0.643351994	0.842113302
PRPF3	PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae)	2260615	-0.031886569	0.643428713	0.842144856
NA	NA	2060332	-0.030716299	0.643451836	0.842144856
PCBD1	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha	4860184	0.0342659	0.643504916	0.842164764
SRRM5	serine/arginine repetitive matrix 5	4900398	0.030725723	0.643560516	0.842187967
CCDC74B	coiled-coil domain containing 74B	2370424	0.0319625	0.643645979	0.842250246
NA	NA	1340576	0.033092232	0.643713831	0.842289473
NA	NA	7000241	0.033570005	0.643836518	0.842400443
ZNF274	zinc finger protein 274	2370021	-0.032134649	0.643879937	0.84240769
THG1L	tRNA-histidine guanylyltransferase 1-like (S. cerevisiae)	4730348	0.031606689	0.64396883	0.842463534
LOC728147	hypothetical protein LOC728147	4490086	0.034605578	0.644002517	0.842463534
LOXL1	lysyl oxidase-like 1	1070093	-0.03274228	0.644036267	0.842463534
NA	NA	2000035	0.037478968	0.644203713	0.842633007
NA	NA	7210364	0.040207253	0.644314176	0.842727928
FAM81B	"family with sequence similarity 81, member B"	3840671	0.030572188	0.644375208	0.842745796
KCNK1	"potassium channel, subfamily K, member 1"	6660671	-0.04234222	0.644412214	0.842745796
NA	NA	6650739	0.03722265	0.644444451	0.842745796
NA	NA	4830538	0.034359113	0.644507546	0.842745796
GPR137C	G protein-coupled receptor 137C	2640300	-0.034949984	0.644517312	0.842745796
KRT24	keratin 24	2850372	0.029601976	0.644637807	0.842853794
NA	NA	2750022	-0.032028936	0.644830896	0.842968361
BAGE	B melanoma antigen	2320184	0.030821405	0.644887324	0.842968361
DUSP12	dual specificity phosphatase 12	460280	-0.033313732	0.64489133	0.842968361
MTMR10	myotubularin related protein 10	4810433	0.030629584	0.644895083	0.842968361
NA	NA	2640180	0.031772815	0.644914956	0.842968361
SLC35A2	"solute carrier family 35 (UDP-galactose transporter), member A2"	5560487	-0.033153542	0.644985716	0.843011304
STK11	serine/threonine kinase 11	4150414	-0.04424008	0.645050263	0.843042566
DUX4L5	double homeobox 4 like 5	1440280	0.034560062	0.645085451	0.843042566
NA	NA	5550328	-0.03631264	0.645463571	0.843487152
NA	NA	2030039	-0.032808984	0.64553168	0.84352659
PEX11A	peroxisomal biogenesis factor 11 alpha	6280685	0.031669182	0.645684639	0.843676891
DCAF4L1	DDB1 and CUL4 associated factor 4-like 1	6980291	0.032135801	0.645743151	0.843703774
NA	NA	770653	0.032150426	0.645842577	0.843753681
SLC25A25	"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25"	4730538	-0.031485778	0.645857229	0.843753681
NA	NA	830021	-0.030800326	0.645914762	0.843779276
NA	NA	2570521	-0.032356397	0.64601009	0.843854238
KCTD6	potassium channel tetramerisation domain containing 6	5290193	-0.032923029	0.646156407	0.843995791
POU2F3	POU class 2 homeobox 3	2640093	0.039194964	0.646536155	0.844442213
LOC285359	phosducin-like 3 pseudogene	6980059	-0.032999835	0.64658647	0.844458333
RAE1	RAE1 RNA export 1 homolog (S. pombe)	4780541	0.034534543	0.646646776	0.8444875
RNF217	ring finger protein 217	6380048	0.031236246	0.64669835	0.844505261
PRKCB	"protein kinase C, beta"	4490373	0.0320937	0.646790512	0.84457602
CEP63	centrosomal protein 63kDa	2690064	0.036454223	0.646863956	0.844578712
NA	NA	1110008	-0.030490361	0.646879475	0.844578712
NA	NA	60609	0.031493401	0.646937429	0.844578712
MRPS15	mitochondrial ribosomal protein S15	3400674	0.03023174	0.646956291	0.844578712
NA	NA	10224	-0.031793983	0.64698246	0.844578712
MZB1	marginal zone B and B1 cell-specific protein	770682	-0.031685459	0.647056306	0.844625532
NA	NA	3850026	0.034536656	0.647167713	0.844696029
VCX2	"variable charge, X-linked 2"	1990736	0.031380803	0.647186278	0.844696029
SNORA84	"small nucleolar RNA, H/ACA box 84"	870053	-0.030256957	0.647259675	0.844727837
NA	NA	6450088	0.032780284	0.647286617	0.844727837
SOCS3	suppressor of cytokine signaling 3	5260630	0.030521828	0.647392822	0.844816863
NA	NA	4050270	0.037463119	0.647513515	0.844924782
REG1P	regenerating islet-derived 1 pseudogene	2260440	0.032035168	0.64762217	0.844969083
NA	NA	730600	-0.032496031	0.647653669	0.844969083
NA	NA	2320435	-0.030878183	0.64766145	0.844969083
PSG4	pregnancy specific beta-1-glycoprotein 4	4210500	-0.032862338	0.647714796	0.844981916
NA	NA	7210112	-0.035349919	0.647764225	0.844981916
CCDC107	coiled-coil domain containing 107	4760398	-0.033826792	0.647800579	0.844981916
DPP4	dipeptidyl-peptidase 4	4830255	-0.045187419	0.647823269	0.844981916
LRRFIP2	leucine rich repeat (in FLII) interacting protein 2	7050619	-0.037102385	0.647868583	0.844991462
NA	NA	1980139	-0.031773544	0.648019189	0.84512785
BAG4	BCL2-associated athanogene 4	2850646	-0.032887635	0.648049158	0.84512785
C1orf210	chromosome 1 open reading frame 210	3420435	-0.036266853	0.648228947	0.845312745
NA	NA	2070131	-0.033975437	0.648509347	0.845611959
NA	NA	4780477	-0.031826868	0.648534447	0.845611959
NA	NA	2690523	0.032909675	0.648585248	0.845628617
NA	NA	4670377	-0.036102863	0.64863221	0.84564027
NA	NA	7610075	-0.048130897	0.648678964	0.845651649
HSPB6	"heat shock protein, alpha-crystallin-related, B6"	2600154	0.037954587	0.64876028	0.845668505
UTP3	"UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)"	5490102	0.042717591	0.648767947	0.845668505
FP588	hypothetical LOC92973	7510343	-0.030615368	0.648809525	0.845673135
NA	NA	4200670	0.032241344	0.649057874	0.845947257
MMP12	matrix metallopeptidase 12 (macrophage elastase)	4760626	-0.032911822	0.649102418	0.845948272
POMT2	protein-O-mannosyltransferase 2	6290292	0.030156775	0.649157671	0.845948272
MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	630201	-0.032611371	0.649172769	0.845948272
NA	NA	6900520	0.031034557	0.649243256	0.845955339
NA	NA	460088	0.03123442	0.64925427	0.845955339
SMAD7	SMAD family member 7	4220767	-0.029598101	0.649332632	0.846007874
NA	NA	4060017	-0.039051783	0.649512202	0.846192259
NA	NA	7380753	-0.033194927	0.649562618	0.846208368
SLC36A1	"solute carrier family 36 (proton/amino acid symporter), member 1"	2940095	-0.032814332	0.649738193	0.846259542
NA	NA	4220110	0.033850707	0.649797927	0.846259542
DHX15	DEAH (Asp-Glu-Ala-His) box polypeptide 15	4590333	-0.03756845	0.649838239	0.846259542
CYBRD1	cytochrome b reductase 1	2450465	-0.032355653	0.649865748	0.846259542
NA	NA	2640358	0.034626606	0.649882486	0.846259542
NA	NA	4890612	0.030154122	0.649892501	0.846259542
C9orf30	chromosome 9 open reading frame 30	5260538	0.034584791	0.649893837	0.846259542
NA	NA	5490386	0.031000479	0.649911836	0.846259542
FAM3A	"family with sequence similarity 3, member A"	3440091	-0.030061169	0.649944376	0.846259542
PUM2	pumilio homolog 2 (Drosophila)	4250563	-0.034255505	0.650057345	0.846308533
NA	NA	4010441	-0.035065786	0.650081947	0.846308533
NA	NA	4540441	0.073540057	0.650128577	0.846308533
SON	SON DNA binding protein	6350270	0.030316201	0.650134223	0.846308533
ATL1	atlastin GTPase 1	990192	-0.035956636	0.650187672	0.846328572
KRT6B	keratin 6B	2000114	-0.029799256	0.650338506	0.846432902
SH3GLB1	SH3-domain GRB2-like endophilin B1	6960372	0.037251178	0.650357442	0.846432902
NA	NA	4810278	0.02995207	0.650417706	0.846432902
NA	NA	7200711	-0.032963198	0.650420066	0.846432902
NA	NA	2140278	-0.034591013	0.650483187	0.846465512
NA	NA	4050286	0.032848397	0.650647444	0.846545137
C3orf38	chromosome 3 open reading frame 38	5570577	-0.036079027	0.650652478	0.846545137
C11orf71	chromosome 11 open reading frame 71	1230543	-0.03598192	0.650691007	0.846545137
ROD1	ROD1 regulator of differentiation 1 (S. pombe)	6200128	0.036859541	0.650711438	0.846545137
SRM	spermidine synthase	5570088	0.033004747	0.650747361	0.846545137
ZFP30	zinc finger protein 30 homolog (mouse)	6940427	0.037690276	0.650772771	0.846545137
C10orf12	chromosome 10 open reading frame 12	4230392	0.0313969	0.650812844	0.846547747
BZW2	basic leucine zipper and W2 domains 2	1440612	-0.034441537	0.650902545	0.846614908
ZDHHC11	"zinc finger, DHHC-type containing 11"	1710382	0.034290846	0.650985649	0.84667348
ZNF557	zinc finger protein 557	3420019	0.032028992	0.651099167	0.846771601
NA	NA	2140731	0.033584932	0.651259075	0.846895804
NA	NA	7160682	-0.032630391	0.651270832	0.846895804
ZNF792	zinc finger protein 792	2650102	-0.030133244	0.651521095	0.847171703
NA	NA	2070021	-0.032187409	0.651611256	0.847193276
NA	NA	1190577	0.031307872	0.651613876	0.847193276
NA	NA	1170441	0.045476604	0.651713739	0.847273579
RNF19B	ring finger protein 19B	130403	0.02982202	0.651815214	0.847355968
SELRC1	Sel1 repeat containing 1	2810022	-0.032779244	0.651906058	0.847384914
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	6480053	0.03233343	0.651913687	0.847384914
NA	NA	7610397	0.03323027	0.651974279	0.847413484
NA	NA	670184	0.034185941	0.652025033	0.847413484
TNFAIP8L3	"tumor necrosis factor, alpha-induced protein 8-like 3"	5820474	-0.031814276	0.652049981	0.847413484
TRIM62	tripartite motif containing 62	6900553	0.03409304	0.652100102	0.847429098
NA	NA	4040408	-0.029559427	0.652176061	0.847478288
NA	NA	510142	0.037133843	0.65228099	0.847519728
IL17RC	interleukin 17 receptor C	6290333	0.030316652	0.65228417	0.847519728
PHF11	PHD finger protein 11	6100521	0.03232803	0.652353976	0.847560909
B3GNT8	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8"	1470132	-0.030564404	0.652478423	0.847651768
NA	NA	7570136	0.031551901	0.652539279	0.847651768
UPK3B	uroplakin 3B	6290500	0.03305586	0.652542915	0.847651768
SGTA	"small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha"	240731	-0.034121575	0.652576371	0.847651768
INCA1	"inhibitor of CDK, cyclin A1 interacting protein 1"	1010209	0.032486823	0.652627311	0.847668425
FGF5	fibroblast growth factor 5	5050619	-0.042487004	0.652744742	0.847771438
NA	NA	2750112	0.029673297	0.652816797	0.847792806
ZNF460	zinc finger protein 460	6620037	0.042180546	0.652867411	0.847792806
SLC12A9	"solute carrier family 12 (potassium/chloride transporters), member 9"	110450	0.029435223	0.652876906	0.847792806
KDSR	3-ketodihydrosphingosine reductase	1740242	0.042215078	0.65294363	0.847792806
NA	NA	430019	0.032762939	0.652951805	0.847792806
PRKCZ	"protein kinase C, zeta"	130551	0.030821018	0.653005667	0.847813242
NA	NA	6480192	0.030511398	0.653095462	0.847837572
TNFSF8	"tumor necrosis factor (ligand) superfamily, member 8"	1240209	0.030279139	0.653119417	0.847837572
SECTM1	secreted and transmembrane 1	5360093	-0.032197971	0.653138778	0.847837572
FEZ2	fasciculation and elongation protein zeta 2 (zygin II)	360608	0.031831366	0.653237872	0.847837609
SDHC	"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa"	1090301	-0.031216694	0.653318192	0.847837609
COMMD8	COMM domain containing 8	1770400	-0.041636905	0.653335964	0.847837609
MORF4L1	mortality factor 4 like 1	4900343	-0.033498468	0.65333943	0.847837609
NA	NA	7000682	-0.038153146	0.653350588	0.847837609
ERLIN2	ER lipid raft associated 2	870646	0.030008186	0.65336755	0.847837609
CNN2	calponin 2	2230242	0.035044143	0.653512131	0.847904255
LOC100128274	putative p150	50075	-0.033628055	0.653533095	0.847904255
NA	NA	4290059	-0.030394951	0.653560993	0.847904255
OR52E6	"olfactory receptor, family 52, subfamily E, member 6"	3520600	-0.036633328	0.653571417	0.847904255
NA	NA	6510753	0.033177403	0.653639173	0.847918459
KANK4	KN motif and ankyrin repeat domains 4	7610128	-0.030209546	0.653673549	0.847918459
YTHDC1	YTH domain containing 1	6900288	0.029692368	0.653696748	0.847918459
NA	NA	7040703	-0.033849895	0.65377019	0.847944685
RAX2	retina and anterior neural fold homeobox 2	1980075	-0.035265726	0.653794286	0.847944685
TYMP	thymidine phosphorylase	2350504	-0.038451637	0.653887593	0.847944685
NA	NA	6400239	-0.030963644	0.653923357	0.847944685
MRPL11	mitochondrial ribosomal protein L11	2230452	0.032540417	0.653936431	0.847944685
SSSCA1	Sjogren syndrome/scleroderma autoantigen 1	6480605	-0.043430828	0.653957806	0.847944685
PJA1	praja ring finger 1	3610274	-0.031133437	0.653987294	0.847944685
NA	NA	4060044	-0.033327865	0.654021997	0.847944685
MATK	megakaryocyte-associated tyrosine kinase	5670605	-0.029198196	0.654067458	0.847952334
NA	NA	1740192	-0.031135145	0.6541835	0.847952334
SLC12A2	"solute carrier family 12 (sodium/potassium/chloride transporters), member 2"	830022	-0.03309309	0.654265801	0.847952334
CTDSPL2	"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2"	1440674	-0.034259927	0.654265962	0.847952334
DAZAP1	DAZ associated protein 1	7100086	0.030634156	0.654323136	0.847952334
ARRDC2	arrestin domain containing 2	4730110	0.032329091	0.654376514	0.847952334
LOC100192378	hypothetical LOC100192378	5890307	-0.030038434	0.654390594	0.847952334
NA	NA	4730022	-0.034035931	0.654393358	0.847952334
NA	NA	6620563	-0.038905678	0.654406905	0.847952334
ABCB8	"ATP-binding cassette, sub-family B (MDR/TAP), member 8"	3990592	-0.033817236	0.654446919	0.847952334
HK1	hexokinase 1	1660196	0.037133554	0.654447316	0.847952334
PIP4K2A	"phosphatidylinositol-5-phosphate 4-kinase, type II, alpha"	7200603	0.033465306	0.654509778	0.84798386
ANAPC2	anaphase promoting complex subunit 2	4180634	-0.037216651	0.654674339	0.848147654
NA	NA	1300240	0.031728282	0.655105826	0.848529586
EIF3E	"eukaryotic translation initiation factor 3, subunit E"	2510019	0.031910194	0.655168627	0.848529586
NA	NA	3060187	0.040173194	0.65518135	0.848529586
NA	NA	1770100	0.041846755	0.655184925	0.848529586
TBC1D24	"TBC1 domain family, member 24"	3870138	0.038647112	0.655192677	0.848529586
NA	NA	6130148	0.030716853	0.655207749	0.848529586
NA	NA	580088	0.040197898	0.655242372	0.848529586
NA	NA	630239	0.028682589	0.655274388	0.848529586
NA	NA	6130368	-0.031204399	0.655336024	0.848559991
LSAMP	limbic system-associated membrane protein	780435	0.029644604	0.655431203	0.848633821
LAMP2	lysosomal-associated membrane protein 2	780041	-0.032460729	0.655539797	0.848663078
NA	NA	5360307	0.028729548	0.655545539	0.848663078
EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	1090440	0.02847572	0.655568281	0.848663078
MED29	mediator complex subunit 29	70168	0.03627238	0.65569108	0.848772639
NA	NA	2690020	0.032024455	0.65583839	0.848913914
MRPL38	mitochondrial ribosomal protein L38	4220327	0.032535845	0.656018796	0.849044033
CCDC120	coiled-coil domain containing 120	6350626	0.031135522	0.65604401	0.849044033
KLHL25	kelch-like 25 (Drosophila)	6510356	0.031515391	0.65605345	0.849044033
MORF4L1	mortality factor 4 like 1	6450347	0.029150437	0.656232208	0.849220026
NA	NA	6900768	0.029962159	0.656292798	0.849220026
NA	NA	2690241	0.040770565	0.656324994	0.849220026
ADAMTSL4	ADAMTS-like 4	10286	0.03317645	0.656351068	0.849220026
SMC2	structural maintenance of chromosomes 2	510025	-0.031440606	0.656387114	0.849220026
MYBPC3	"myosin binding protein C, cardiac"	6940768	-0.029954318	0.656448586	0.849220026
NA	NA	4860685	0.032189879	0.656584557	0.849220026
LTN1	listerin E3 ubiquitin protein ligase 1	2940181	-0.031058017	0.656630298	0.849220026
C5orf64	chromosome 5 open reading frame 64	990088	-0.040898332	0.656639395	0.849220026
LYPLA1	lysophospholipase I	70300	0.050028027	0.656651657	0.849220026
NA	NA	1940327	-0.031833998	0.65668016	0.849220026
NA	NA	7380368	0.030921188	0.6566968	0.849220026
NA	NA	160324	-0.030726087	0.656756331	0.849220026
NA	NA	3460050	-0.034830665	0.656758653	0.849220026
CPEB2	cytoplasmic polyadenylation element binding protein 2	4830382	0.039290268	0.65676858	0.849220026
NA	NA	2070221	0.034195153	0.65686781	0.849220026
CD14	CD14 molecule	6370369	-0.033793089	0.656877805	0.849220026
S100PBP	S100P binding protein	6370433	0.031727283	0.656892424	0.849220026
GRIA3	"glutamate receptor, ionotrophic, AMPA 3"	5420228	0.029171794	0.656914974	0.849220026
NA	NA	7100019	0.029030936	0.657122436	0.849438843
NA	NA	7570523	-0.031783233	0.657346877	0.849649213
ZNF670	zinc finger protein 670	1050201	-0.030681618	0.657361588	0.849649213
NA	NA	6900519	0.02852218	0.657419655	0.849674883
ENAH	enabled homolog (Drosophila)	3170132	-0.030593827	0.657517958	0.849752549
NA	NA	6550564	0.031992405	0.657696177	0.849933481
RBMS1	"RNA binding motif, single stranded interacting protein 1"	3390180	-0.039233146	0.657755542	0.849945339
NA	NA	50612	-0.029723336	0.657862164	0.849945339
C15orf59	chromosome 15 open reading frame 59	6660445	-0.033825763	0.657869134	0.849945339
NA	NA	6180301	0.028737552	0.657910882	0.849945339
NA	NA	6180452	0.030030758	0.657943742	0.849945339
LIPF	"lipase, gastric"	5260672	0.032089319	0.658063082	0.849945339
NA	NA	6130240	-0.031881786	0.658089964	0.849945339
NA	NA	6380136	0.031176059	0.658153478	0.849945339
SAFB2	scaffold attachment factor B2	7050670	-0.032761597	0.658163502	0.849945339
RPL35A	ribosomal protein L35a	6370504	0.031015023	0.658177919	0.849945339
CDV3	CDV3 homolog (mouse)	5720746	0.03246661	0.658231183	0.849945339
MRPL45	mitochondrial ribosomal protein L45	7570315	-0.041868951	0.65827289	0.849945339
SLC2A14	"solute carrier family 2 (facilitated glucose transporter), member 14"	3420241	0.0331743	0.658291271	0.849945339
